Local time,Open,High,Low,Close,Volume
13.04.2018 19:00:00.000 GMT+0200,1346.652,1346.882,1342.878,1345.241,7381450.176200001
15.04.2018 23:00:00.000 GMT+0200,1345.941,1347.098,1340.102,1343.929,5093819.9758
16.04.2018 03:00:00.000 GMT+0200,1343.929,1348.661,1343.908,1345.899,4538910.0313
16.04.2018 07:00:00.000 GMT+0200,1345.921,1346.518,1341.118,1345.109,6682859.897700001
16.04.2018 11:00:00.000 GMT+0200,1345.101,1346.509,1342.318,1345.612,6014690.160800001
16.04.2018 15:00:00.000 GMT+0200,1345.612,1350.439,1344.851,1347.921,9497305.1547
16.04.2018 19:00:00.000 GMT+0200,1347.921,1348.122,1345.322,1345.572,3668210.0297
16.04.2018 23:00:00.000 GMT+0200,1345.608,1348.919,1345.568,1348.279,1572470.0093
17.04.2018 03:00:00.000 GMT+0200,1348.368,1349.341,1343.759,1344.752,2710900.0086
17.04.2018 07:00:00.000 GMT+0200,1344.751,1348.848,1340.651,1342.338,6482547.8792
17.04.2018 11:00:00.000 GMT+0200,1342.338,1343.908,1337.648,1338.818,6127989.8882
17.04.2018 15:00:00.000 GMT+0200,1338.779,1346.958,1338.299,1346.788,10103450.0599
17.04.2018 19:00:00.000 GMT+0200,1346.788,1347.722,1345.728,1346.920,4641510.0693
17.04.2018 23:00:00.000 GMT+0200,1347.469,1347.599,1344.628,1345.049,1870544.9700000002
18.04.2018 03:00:00.000 GMT+0200,1345.072,1345.258,1342.841,1343.449,2083819.9854000001
18.04.2018 07:00:00.000 GMT+0200,1343.448,1346.842,1342.251,1344.328,5778969.8839
18.04.2018 11:00:00.000 GMT+0200,1344.328,1353.522,1343.391,1353.131,6813780.069399999
18.04.2018 15:00:00.000 GMT+0200,1353.131,1355.652,1348.208,1351.778,10822149.8728
18.04.2018 19:00:00.000 GMT+0200,1351.831,1351.979,1347.441,1349.221,5186209.917
18.04.2018 23:00:00.000 GMT+0200,1349.179,1351.451,1348.258,1349.079,2404494.9411
19.04.2018 03:00:00.000 GMT+0200,1349.149,1353.001,1347.978,1351.599,3895470.0231
19.04.2018 07:00:00.000 GMT+0200,1351.621,1354.662,1350.761,1352.321,5972350.0013999995
19.04.2018 11:00:00.000 GMT+0200,1352.312,1352.489,1344.741,1347.782,8478323.9364
19.04.2018 15:00:00.000 GMT+0200,1347.789,1349.018,1340.909,1346.422,11870867.013899999
19.04.2018 19:00:00.000 GMT+0200,1346.421,1346.908,1344.059,1345.391,5755640.089399999
19.04.2018 23:00:00.000 GMT+0200,1345.928,1346.262,1343.348,1344.768,2080060.0051000002
20.04.2018 03:00:00.000 GMT+0200,1344.792,1345.679,1341.559,1342.259,4109930.0385
20.04.2018 07:00:00.000 GMT+0200,1342.259,1344.422,1340.371,1341.362,5746210.0386
20.04.2018 11:00:00.000 GMT+0200,1341.362,1344.212,1339.278,1339.399,5125500.0233000005
20.04.2018 15:00:00.000 GMT+0200,1339.308,1340.628,1335.000,1337.718,8655410.1707
20.04.2018 19:00:00.000 GMT+0200,1337.719,1337.898,1335.108,1335.142,2797919.9887
22.04.2018 23:00:00.000 GMT+0200,1334.171,1335.322,1331.568,1333.328,2849889.9937
23.04.2018 03:00:00.000 GMT+0200,1333.328,1334.838,1332.279,1333.921,2457790.047
23.04.2018 07:00:00.000 GMT+0200,1333.971,1335.419,1328.928,1329.008,4435620.0099
23.04.2018 11:00:00.000 GMT+0200,1329.008,1329.429,1323.999,1325.628,6722820.043500001
23.04.2018 15:00:00.000 GMT+0200,1325.609,1326.608,1322.158,1323.541,10349749.922799999
23.04.2018 19:00:00.000 GMT+0200,1323.542,1325.349,1322.078,1324.621,4535629.9282
23.04.2018 23:00:00.000 GMT+0200,1324.419,1326.619,1323.771,1326.008,1394230.0081
24.04.2018 03:00:00.000 GMT+0200,1326.008,1328.088,1322.000,1326.509,3110929.9511
24.04.2018 07:00:00.000 GMT+0200,1326.509,1328.492,1324.482,1327.599,3916190.0282000005
24.04.2018 11:00:00.000 GMT+0200,1327.608,1327.901,1323.362,1324.928,4388300.0016
24.04.2018 15:00:00.000 GMT+0200,1324.928,1332.442,1323.979,1331.822,11698359.9662
24.04.2018 19:00:00.000 GMT+0200,1331.842,1332.631,1329.558,1329.559,5523479.9386
24.04.2018 23:00:00.000 GMT+0200,1329.818,1331.982,1329.449,1330.691,1637995.0344
25.04.2018 03:00:00.000 GMT+0200,1330.691,1330.698,1326.819,1327.448,2157139.9868
25.04.2018 07:00:00.000 GMT+0200,1327.448,1327.488,1322.941,1325.002,4429809.987600001
25.04.2018 11:00:00.000 GMT+0200,1325.001,1325.688,1318.721,1320.608,5700130.0454
25.04.2018 15:00:00.000 GMT+0200,1320.552,1322.839,1319.109,1322.211,6429519.891799999
25.04.2018 19:00:00.000 GMT+0200,1322.212,1323.872,1321.238,1322.972,3086244.9406999997
25.04.2018 23:00:00.000 GMT+0200,1322.819,1323.979,1321.071,1323.292,1445194.9895
26.04.2018 03:00:00.000 GMT+0200,1323.291,1324.619,1321.969,1323.369,2637049.9729999998
26.04.2018 07:00:00.000 GMT+0200,1323.379,1326.521,1321.921,1322.321,3966850.0126
26.04.2018 11:00:00.000 GMT+0200,1322.321,1325.752,1321.301,1324.719,6027979.8507
26.04.2018 15:00:00.000 GMT+0200,1324.718,1325.689,1315.198,1317.539,8832779.884300001
26.04.2018 19:00:00.000 GMT+0200,1317.568,1317.949,1316.500,1316.822,2972329.9741999996
26.04.2018 23:00:00.000 GMT+0200,1316.699,1318.162,1316.500,1316.922,1000894.9935999999
27.04.2018 03:00:00.000 GMT+0200,1316.919,1318.178,1315.522,1317.638,2344789.9819
27.04.2018 07:00:00.000 GMT+0200,1317.649,1319.048,1315.258,1316.378,3987580.0311000003
27.04.2018 11:00:00.000 GMT+0200,1316.378,1322.392,1316.349,1321.101,4852750.1226
27.04.2018 15:00:00.000 GMT+0200,1321.099,1323.778,1320.209,1321.758,6080709.9938
27.04.2018 19:00:00.000 GMT+0200,1321.758,1325.162,1321.419,1323.218,3914240.1218
29.04.2018 23:00:00.000 GMT+0200,1322.909,1325.348,1322.228,1324.339,1143990.01
30.04.2018 03:00:00.000 GMT+0200,1324.338,1324.821,1320.968,1321.589,1553259.9986
30.04.2018 07:00:00.000 GMT+0200,1321.588,1322.289,1316.409,1317.189,3294930.0707
30.04.2018 11:00:00.000 GMT+0200,1317.189,1317.539,1312.381,1313.938,4629271.984
30.04.2018 15:00:00.000 GMT+0200,1313.938,1318.108,1310.168,1317.028,8014459.1331
30.04.2018 19:00:00.000 GMT+0200,1317.028,1320.438,1314.159,1315.081,4303200.0662
30.04.2018 23:00:00.000 GMT+0200,1314.959,1316.292,1314.568,1315.018,1431370.02
01.05.2018 03:00:00.000 GMT+0200,1315.018,1315.119,1312.000,1312.239,1920805.0073
01.05.2018 07:00:00.000 GMT+0200,1312.219,1312.672,1308.468,1308.798,3338630.0504
01.05.2018 11:00:00.000 GMT+0200,1308.798,1310.241,1306.728,1307.988,5171459.9728
01.05.2018 15:00:00.000 GMT+0200,1307.969,1309.019,1301.678,1306.998,10231957.077900002
01.05.2018 19:00:00.000 GMT+0200,1307.018,1307.339,1303.671,1303.821,3506280.0646
01.05.2018 23:00:00.000 GMT+0200,1303.809,1307.489,1303.748,1306.308,2020500.0043
02.05.2018 03:00:00.000 GMT+0200,1306.308,1311.872,1306.209,1310.148,2732140.0345
02.05.2018 07:00:00.000 GMT+0200,1310.148,1311.582,1307.618,1310.032,4557300.0907000005
02.05.2018 11:00:00.000 GMT+0200,1310.032,1311.249,1307.908,1308.949,3970009.9825999998
02.05.2018 15:00:00.000 GMT+0200,1308.938,1309.411,1304.048,1305.239,7327769.875500001
02.05.2018 19:00:00.000 GMT+0200,1305.239,1313.361,1303.868,1304.148,8948370.099
02.05.2018 23:00:00.000 GMT+0200,1304.358,1308.402,1304.348,1308.331,1702989.9956
03.05.2018 03:00:00.000 GMT+0200,1308.368,1310.459,1307.298,1309.498,2283789.9625999997
03.05.2018 07:00:00.000 GMT+0200,1309.439,1311.149,1306.488,1310.272,4165940.0165
03.05.2018 11:00:00.000 GMT+0200,1310.241,1318.068,1309.621,1315.488,6139990.0317
03.05.2018 15:00:00.000 GMT+0200,1315.512,1316.332,1311.668,1312.542,7882736.0868
03.05.2018 19:00:00.000 GMT+0200,1312.528,1315.012,1310.712,1311.971,3673719.9128
03.05.2018 23:00:00.000 GMT+0200,1311.778,1313.589,1311.281,1312.078,1218054.9949
04.05.2018 03:00:00.000 GMT+0200,1312.078,1314.389,1311.678,1312.701,2104889.9888
04.05.2018 07:00:00.000 GMT+0200,1312.702,1313.661,1308.671,1308.761,4357579.9763
04.05.2018 11:00:00.000 GMT+0200,1308.751,1315.411,1308.571,1313.218,5180919.825999999
04.05.2018 15:00:00.000 GMT+0200,1313.258,1313.738,1308.000,1313.282,9368149.9958
04.05.2018 19:00:00.000 GMT+0200,1313.281,1315.121,1312.918,1314.811,5699739.9329
06.05.2018 23:00:00.000 GMT+0200,1315.058,1317.949,1314.068,1317.481,1618519.9915999998
07.05.2018 03:00:00.000 GMT+0200,1317.521,1318.889,1315.938,1316.029,3020599.9612
07.05.2018 07:00:00.000 GMT+0200,1316.039,1316.158,1311.691,1313.522,4775139.9279000005
07.05.2018 11:00:00.000 GMT+0200,1313.531,1314.878,1310.198,1313.039,5395000.0405
07.05.2018 15:00:00.000 GMT+0200,1313.058,1315.582,1311.288,1313.801,8337099.9097
07.05.2018 19:00:00.000 GMT+0200,1313.818,1314.702,1312.821,1314.121,4200809.896
07.05.2018 23:00:00.000 GMT+0200,1313.428,1317.008,1313.428,1315.571,1645854.9499
08.05.2018 03:00:00.000 GMT+0200,1315.572,1315.791,1310.878,1311.379,2391269.9819
08.05.2018 07:00:00.000 GMT+0200,1311.368,1314.771,1310.750,1311.258,5090940.0285
08.05.2018 11:00:00.000 GMT+0200,1311.278,1311.991,1308.599,1309.902,4781320.0354
08.05.2018 15:00:00.000 GMT+0200,1309.901,1315.422,1306.028,1314.058,11180710.0773
08.05.2018 19:00:00.000 GMT+0200,1314.058,1317.762,1311.291,1313.409,7167440.0866
08.05.2018 23:00:00.000 GMT+0200,1314.578,1316.702,1312.911,1313.139,1845769.9418000001
09.05.2018 03:00:00.000 GMT+0200,1313.139,1313.259,1310.071,1311.119,2816532.0157000003
09.05.2018 07:00:00.000 GMT+0200,1311.119,1311.128,1304.201,1306.198,5268514.990800001
09.05.2018 11:00:00.000 GMT+0200,1306.168,1314.229,1305.468,1313.602,7581249.8331
09.05.2018 15:00:00.000 GMT+0200,1313.601,1317.382,1311.411,1312.278,9194670.0812
09.05.2018 19:00:00.000 GMT+0200,1312.361,1313.478,1310.831,1312.621,3842509.985
09.05.2018 23:00:00.000 GMT+0200,1312.378,1313.509,1311.028,1311.348,1691385.001
10.05.2018 03:00:00.000 GMT+0200,1311.348,1315.661,1311.038,1315.222,3088873.9824
10.05.2018 07:00:00.000 GMT+0200,1315.222,1315.322,1310.698,1315.031,4869300.0078
10.05.2018 11:00:00.000 GMT+0200,1315.032,1322.658,1314.548,1321.908,6398103.9524
10.05.2018 15:00:00.000 GMT+0200,1322.009,1322.831,1316.148,1319.468,9849680.185400002
10.05.2018 19:00:00.000 GMT+0200,1319.468,1322.171,1319.222,1320.228,4146079.9874
10.05.2018 23:00:00.000 GMT+0200,1321.248,1322.101,1319.951,1321.888,1860509.9915999998
11.05.2018 03:00:00.000 GMT+0200,1321.889,1321.948,1319.068,1319.458,2012279.9874
11.05.2018 07:00:00.000 GMT+0200,1319.558,1323.529,1318.429,1323.101,4558460.0568
11.05.2018 11:00:00.000 GMT+0200,1323.081,1325.901,1322.311,1324.739,4979209.899800001
11.05.2018 15:00:00.000 GMT+0200,1324.721,1325.182,1320.339,1321.959,7319300.055600001
11.05.2018 19:00:00.000 GMT+0200,1321.978,1321.988,1317.202,1317.909,3439689.9044
13.05.2018 23:00:00.000 GMT+0200,1318.291,1322.139,1317.772,1322.048,1368649.9893
14.05.2018 03:00:00.000 GMT+0200,1322.048,1322.311,1319.081,1319.299,2059379.9651
14.05.2018 07:00:00.000 GMT+0200,1319.299,1321.739,1318.998,1320.881,4446950.0184
14.05.2018 11:00:00.000 GMT+0200,1320.882,1321.428,1317.929,1318.798,3389631.9865
14.05.2018 15:00:00.000 GMT+0200,1318.798,1321.188,1318.079,1319.142,4577750.027199999
